City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
481,pangnirtung,66.1451,-65.7125,-2.74,62,100,1.21,CA,1613988790
482,pascagoula,30.3658,-88.5561,55.99,94,75,4.12,US,1613988790
483,uvelskiy,54.4446,61.3574,-5.76,89,90,5.68,RU,1613988790
484,khuzhir,53.1939,107.3397,0.63,90,19,6.38,RU,1613988790
485,mindelo,16.8901,-24.9804,71.6,60,20,25.32,CV,1613988790
486,vila velha,-20.3297,-40.2925,78.8,83,0,2.3,BR,1613988710
487,grindavik,63.8424,-22.4338,35.6,100,75,5.75,IS,1613988790
488,hamilton,39.1834,-84.5333,42.01,81,90,11.5,US,1613988656
489,port macquarie,-31.4333,152.9167,72.0,90,32,1.99,AU,1613988791
490,kremenki,54.885,37.1261,17.6,79,90,8.95,RU,1613988791
491,tautira,-17.7333,-149.15,78.8,73,0,6.91,PF,1613988791
492,tuatapere,-46.1333,167.6833,60.01,88,100,3.0,NZ,1613988791
493,marmora,44.4583,7.094,48.2,87,98,4.61,IT,1613988791
494,constitucion,-35.3333,-72.4167,54.95,67,0,6.49,CL,1613988791
495,shiraz,29.6036,52.5388,62.6,39,20,7.23,IR,1613988744
496,socorro,31.6546,-106.3033,41.0,38,1,6.91,US,1613988792
497,batemans bay,-35.7167,150.1833,66.99,71,100,9.17,AU,1613988792
498,inndyr,67.0338,14.0276,30.99,74,75,28.77,NO,1613988792
499,bucerias,20.75,-105.3333,66.0,93,14,4.99,MX,1613988792
500,arecibo,18.4724,-66.7157,75.99,90,1,1.01,PR,1613988792
501,isla vista,34.4133,-119.861,55.0,70,1,4.12,US,1613988792
502,kindu,-2.95,25.95,85.69,53,100,4.41,CD,1613988793
503,lydenburg,-25.0978,30.4597,75.0,65,97,4.0,ZA,1613988793
504,hadejia,12.4498,10.0444,83.03,14,25,16.82,NG,1613988793
505,canmore,51.0834,-115.3521,35.6,93,77,6.91,CA,1613988522
506,mucurapo,10.6667,-61.5333,75.99,88,20,3.44,TT,1613988793
507,lucapa,-8.4192,20.7447,76.35,74,100,3.74,AO,1613988793
508,evensk,61.95,159.2333,-7.37,75,0,7.54,RU,1613988793
509,polovinnoye,54.7914,65.9864,-7.17,90,81,6.02,RU,1613988793
510,abapo,-18.8333,-63.4667,60.73,96,0,2.26,BO,1613988793
511,roma,43.2128,-75.4557,26.01,58,90,8.05,US,1613988793
512,kiruna,67.8557,20.2251,6.8,78,90,12.66,SE,1613988794
513,itupiranga,-5.1347,-49.3267,73.4,100,90,2.3,BR,1613988560
514,kutum,14.2,24.6667,75.16,18,28,7.2,SD,1613988794
515,sinnamary,5.3833,-52.95,76.5,84,79,11.97,GF,1613988794
516,kampot,10.6167,104.1833,82.4,61,40,9.22,KH,1613988794
517,port-gentil,-0.7193,8.7815,80.6,89,75,12.66,GA,1613988794
518,ende,-8.8432,121.6623,81.25,75,77,5.53,ID,1613988794
519,deniliquin,-35.5333,144.9667,66.0,55,0,1.99,AU,1613988794
520,billings,45.7833,-108.5007,42.8,42,75,18.41,US,1613988575
521,halifax,44.6453,-63.5724,21.2,73,0,2.3,CA,1613988556
522,atambua,-9.1061,124.8925,76.32,90,95,4.16,ID,1613988795
523,vestmannaeyjar,63.4427,-20.2734,37.4,75,0,4.61,IS,1613988795
524,fairview,40.8126,-73.999,33.8,44,90,3.44,US,1613988795
525,boa vista,2.8197,-60.6733,77.0,78,0,9.22,BR,1613988795
526,cravo norte,6.3017,-70.2041,77.63,54,21,8.21,CO,1613988795
527,saint stephen,50.3333,-4.9,48.2,93,20,2.3,GB,1613988795
528,tagusao,9.1924,117.8141,79.32,78,100,7.74,PH,1613988796
529,moindou,-21.6924,165.677,82.4,69,20,3.44,NC,1613988796
530,namatanai,-3.6667,152.4333,81.21,79,78,9.64,PG,1613988796
531,kulhudhuffushi,6.6221,73.07,82.38,69,100,8.97,MV,1613988796
532,mamakan,57.8161,114.0028,-8.54,80,94,1.95,RU,1613988730
533,ola,59.5833,151.2833,1.71,82,96,10.4,RU,1613988796
534,sheffield,53.383,-1.4659,45.0,92,100,7.87,GB,1613988796
535,ostersund,63.1792,14.6357,21.2,100,90,4.61,SE,1613988629
536,carberry,49.8689,-99.3602,32.0,80,75,17.27,CA,1613988797
537,general roca,-39.0333,-67.5833,60.8,55,0,5.75,AR,1613988797
538,antalaha,-14.9003,50.2788,86.22,63,68,10.11,MG,1613988797
539,kangaatsiaq,68.3065,-53.4641,-1.26,91,65,11.7,GL,1613988797
540,ganzhou,28.8184,115.4327,69.55,71,60,3.22,CN,1613988797
541,tabuk,17.4189,121.4443,74.26,90,100,1.97,PH,1613988797
542,camopi,3.1655,-52.3158,71.94,98,100,2.08,GF,1613988798
543,esmeraldas,-19.7625,-44.3139,68.0,94,75,3.44,BR,1613988798
544,san vicente,-26.6167,-54.1333,67.21,84,39,2.3,AR,1613988798
545,brae,60.3964,-1.353,44.6,87,20,10.36,GB,1613988798
546,boende,-0.2167,20.8667,96.24,38,79,2.33,CD,1613988798
547,beyla,8.6833,-8.6333,85.19,32,19,2.19,GN,1613988798
548,shenjiamen,29.9576,122.298,55.47,76,84,15.73,CN,1613988798
549,mahon,39.8885,4.2658,59.0,82,20,8.05,ES,1613988798
550,magadan,59.5667,150.8,3.22,81,97,9.28,RU,1613988584
551,khunti,23.0833,85.2833,82.4,26,3,2.3,IN,1613988799
552,dalmau,26.0667,81.0333,88.2,15,0,9.93,IN,1613988799
553,devils lake,48.1128,-98.8651,34.0,69,1,21.85,US,1613988799
554,alta floresta,-9.8756,-56.0861,68.23,96,100,1.66,BR,1613988799
555,taoudenni,22.6783,-3.9836,78.46,23,19,13.11,ML,1613988799
556,marystown,47.1666,-55.1483,21.07,89,92,18.23,CA,1613988799
557,fengzhen,40.4394,113.1536,35.02,72,2,4.34,CN,1613988799
558,maniitsoq,65.4167,-52.9,20.7,87,92,1.77,GL,1613988799
